"SPC","ABBREV","SPC_NMCO","SPC_NMSC","SPC_NMFAM","SPC_LAB","SPECIES_AT_RISK","FLEN_MIN","FLEN_MAX","TLEN_MIN","TLEN_MAX","RWT_MIN","RWT_MAX","K_MIN_ERROR","K_MIN_WARN","K_MAX_ERROR","K_MAX_WARN","FLEN2TLEN_ALPHA","FLEN2TLEN_BETA"
"000",,"Multiple Species",,,"MulSp",FALSE,,,,,,,,,,,,
"010",,"Lamprey Family","Petromyzontidae","PETROMYZONTIDAE","LAMPR",FALSE,100,575,100,575,2,380,0.05,0.07,0.44,0.38,0,1
"011",,"American Brook Lamprey","Lethenteron appendix","PETROMYZONTIDAE","ABLam",FALSE,100,230,100,230,2,24,0.05,0.07,0.44,0.38,0,1
"012",,"Northern Brook Lamprey","Ichthyomyzon fossor","PETROMYZONTIDAE","NBLam",TRUE,100,160,100,160,2,8,0.05,0.07,0.44,0.38,0,1
"013",,"Silver Lamprey","Ichthyomyzon unicuspis","PETROMYZONTIDAE","SiLam",TRUE,100,310,100,310,2,60,0.05,0.07,0.44,0.38,0,1
"014",,"Sea Lamprey","Petromyzon marinus","PETROMYZONTIDAE","SeLam",FALSE,100,575,100,575,2,380,0.05,0.07,0.44,0.38,0,1
"015",,"Ichthyomyzon sp.","Ichthyomyzon sp.","PETROMYZONTIDAE","IchSp",FALSE,100,310,100,310,2,60,0.05,0.07,0.44,0.38,0,1
"016",,"Chestnut Lamprey","Ichthyomyzon castaneus","PETROMYZONTIDAE","ChLam",FALSE,100,230,100,230,2,24,0.05,0.07,0.44,0.38,0,1
"020",,"Paddlefish Family","Polyodontidae","POLYODONTIDAE","PADDL",TRUE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"021",,"Paddlefish","Polyodon spathula","POLYODONTIDAE","Paddl",TRUE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"030",,"Sturgeon Family","Acipenseridae","ACIPENSERIDAE","STURG",TRUE,83,1725,124,1925,7,45810,0.2,0.29,1.19,1.08,35.04782,1.05102
"031",,"Lake Sturgeon","Acipenser fulvescens","ACIPENSERIDAE","LaStu",TRUE,83,1725,124,1925,7,45810,0.2,0.29,1.19,1.08,35.04782,1.05102
"032",,"Caviar",,"ACIPENSERIDAE","Cavia",FALSE,,,,,,,,,,,,
"040",,"Gar Family","Lepisosteidae","LEPISOSTEIDAE","GARS",FALSE,50,1360,50,1360,1,7463,0.1,0.14,0.4,0.36,0,1
"041",,"Longnose Gar","Lepisosteus osseus","LEPISOSTEIDAE","LnGar",FALSE,50,1360,50,1360,1,7463,0.1,0.14,0.4,0.36,0,1
"042",,"Spotted Gar","Lepisosteus oculatus","LEPISOSTEIDAE","SpGar",TRUE,50,805,50,805,1,1252,0.1,0.14,0.4,0.36,0,1
"043",,"Lepisosteus sp.","Lepisosteus sp.","LEPISOSTEIDAE","LptSp",FALSE,50,1360,50,1360,1,7463,0.1,0.14,0.4,0.36,0,1
"044",,"Florida gar","Lepisosteus platyrhinchus","LEPISOSTEIDAE","FlGar",FALSE,50,1360,50,1360,1,7463,0.1,0.14,0.4,0.36,0,1
"050",,"Bowfin Family","Amiidae","AMIIDAE","BOWFI",FALSE,65,885,65,885,2,7001,0.5,0.63,1.52,1.39,0,1
"051",,"Emerald Bowfin","Amia ocellicauda","AMIIDAE","Bowfi",FALSE,65,885,65,885,2,7001,0.5,0.63,1.52,1.39,0,1
"060",,"Herring & Shad Families","Alosidae, Dorosomatidae","ALOSIDAE, DOROSOMATIDAE","HERRI",FALSE,23,552,26,580,0.1,2325,0.22,0.37,2.55,2.33,0.1665,1.14279
"061",,"Alewife","Alosa pseudoharengus","ALOSIDAE","Alewi",FALSE,23,260,26,300,0.1,299,0.22,0.37,1.87,1.67,-2.35598,1.16126
"062",,"American Shad","Alosa sapidissima","ALOSIDAE","AmSha",FALSE,26,552,30,580,0.9,2325,0.52,0.66,2.55,2.33,1.15856,1.13632
"063",,"Gizzard Shad","Dorosoma cepedianum","DOROSOMATIDAE","GiSha",FALSE,26,552,30,580,0.9,2325,0.52,0.66,2.55,2.33,1.15856,1.13632
"064",,"Alosa sp.","Alosa sp.","ALOSIDAE","AloSp",FALSE,23,552,23,580,0.1,2325,0.22,0.37,2.55,2.33,0.1665,1.14279
"065",,"Blueback Herring","Alosa aestivalis","ALOSIDAE","BlbHe",FALSE,23,260,26,300,0.1,299,0.22,0.37,1.87,1.67,-2.35598,1.16126
"066",,"Skipjack Herring","Alosa chrysochloris","ALOSIDAE","SkjHe",FALSE,26,552,30,580,0.9,2325,0.52,0.66,2.55,2.33,1.15856,1.13632
"069",,"Trout, Whitefish, Grayling Family","Salmonidae","SALMONIDAE","SAL",FALSE,8,954,9,1020,0.1,12939,0.11,0.29,2.57,2.34,9.17283,1.07284
"070",,"Salmon & Trout Subfamily","Salmoninae","SALMONINAE","SA_TR",FALSE,24,954,29,1020,0.2,12939,0.32,0.5,2.57,2.34,4.60498,1.07898
"071",,"Pink Salmon","Oncorhynchus gorbuscha","SALMONINAE","PiSal",FALSE,100,559,115,607,14,2272,0.36,0.5,1.9,1.73,7.13505,1.07876
"072",,"Chum Salmon","Oncorhynchus keta","SALMONINAE","CmSal",FALSE,28,790,29,849,0.23,8800,0.45,0.6,2.14,1.94,3.58008,1.06959
"073",,"Coho Salmon","Oncorhynchus kisutch","SALMONINAE","CoSal",FALSE,28,790,29,849,0.23,8800,0.45,0.6,2.14,1.94,3.58008,1.06959
"074",,"Sockeye Salmon","Oncorhynchus nerka","SALMONINAE","SoSal",FALSE,100,559,115,607,14,2272,0.36,0.5,1.9,1.73,7.13505,1.07876
"075",,"Chinook Salmon","Oncorhynchus tshawytscha","SALMONINAE","ChSal",FALSE,29,942,34,994,0.22,12598,0.46,0.6,2.01,1.83,2.8516,1.08415
"076",,"Rainbow Trout","Oncorhynchus mykiss","SALMONINAE","RaTro",FALSE,28,869,31,900,0.4,8141,0.32,0.53,2.21,1.98,7.14095,1.02719
"077",,"Atlantic Salmon","Salmo salar","SALMONINAE","AtSal",FALSE,67,751,87,802,3,5000,0.44,0.57,1.85,1.68,15.67977,1.03375
"078",,"Brown Trout","Salmo trutta","SALMONINAE","BwTro",FALSE,24,860,35,882,0.2,10659,0.54,0.77,2.57,2.34,11.99876,1.00919
"079",,"Arctic Char","Salvelinus alpinus","SALMONINAE","ArCha",FALSE,105,954,115,1020,12,12939,0.38,0.52,2,1.82,6.99357,1.07702
"080",,"Brook Trout","Salvelinus fontinalis","SALMONINAE","BkTro",FALSE,35,557,37,580,1,2600,0.76,0.86,1.71,1.61,3.67524,1.03105
"081",,"Lake Trout","Salvelinus namaycush","SALMONINAE","LaTro",FALSE,105,954,115,1020,12,12939,0.38,0.52,2,1.82,6.99357,1.07702
"082",,"Splake","Salvelinus fontinalis x Salvelinus namaycush","SALMONINAE Hybrids","Splak",FALSE,133,657,142,697,22,3538,0.54,0.71,1.97,1.78,6.71989,1.0499
"083",,"Aurora Trout","Salvelinus fontinalis timagamiensis","SALMONINAE","AuTro",FALSE,35,557,37,580,1,2600,0.76,0.86,1.71,1.61,3.67524,1.03105
"084",,"Oncorhynchus sp.","Oncorhynchus sp.","SALMONINAE","OncSp",FALSE,28,942,29,994,0.22,12598,0.32,0.5,2.21,1.98,9.63418,1.03848
"085",,"Salmo sp.","Salmo sp.","SALMONINAE","SalSp",FALSE,24,860,35,882,0.2,10659,0.54,0.77,2.57,2.34,12.17709,1.00915
"086",,"Salvelinus sp.","Salvelinus sp.","SALMONINAE","SlvSp",FALSE,35,954,37,1020,1,12939,0.38,0.52,2,1.82,1.03779,1.085
"087",,"Lake Trout Backcross","Lake Trout Backcross","SALMONINAE Hybrids","LTBac",FALSE,138,823,147,894,20,7450,0.36,0.53,2.12,1.91,-1.60773,1.07936
"090",,"Whitefish Subfamily","Coregoninae","COREGONINAE","WHITE",FALSE,8,750,9,830,0.1,5422,0.11,0.29,2.13,1.89,3.09082,1.10048
"091",,"Lake Whitefish","Coregonus clupeaformis","COREGONINAE","LaWhi",FALSE,9,750,10,830,0.1,5422,0.36,0.48,1.86,1.69,3.83189,1.10289
"092",,"Longjaw Cisco","Coregonus alpenae","COREGONINAE","LjCis",TRUE,100,355,117,394,13,515,0.23,0.37,1.92,1.72,8.99446,1.08044
"093",,"Cisco (Lake Herring)","Coregonus artedi","COREGONINAE","Cisco",FALSE,8,570,9,601,0.1,2450,0.11,0.29,2.13,1.89,3.34493,1.10055
"094",,"Bloater","Coregonus hoyi","COREGONINAE","Bloat",FALSE,67,358,74,396,3,795,0.32,0.44,1.82,1.65,2.56078,1.10269
"095",,"Deepwater Cisco","Coregonus johannae","COREGONINAE","DwCis",TRUE,67,358,74,396,3,795,0.32,0.44,1.82,1.65,2.56078,1.10269
"096",,"Kiyi","Coregonus kiyi","COREGONINAE","Kiyi",TRUE,147,284,165,316,25,304,0.24,0.35,1.54,1.39,1.26159,1.1151
"097",,"Blackfin Cisco","Coregonus nigripinnis","COREGONINAE","BfCis",TRUE,67,358,74,396,3,795,0.32,0.44,1.82,1.65,2.56078,1.10269
"098",,"Nipigon Cisco","Coregonus nipigon","COREGONINAE","NiCis",FALSE,8,570,9,601,0.1,2450,0.11,0.29,2.13,1.89,3.34493,1.10055
"099",,"Shortnose Cisco","Coregonus reighardi","COREGONINAE","SnCis",TRUE,67,358,74,396,3,795,0.32,0.44,1.82,1.65,2.56078,1.10269
"100",,"Shortjaw Cisco","Coregonus zenithicus","COREGONINAE","SjCis",TRUE,100,355,117,394,13,515,0.23,0.37,1.92,1.72,8.99446,1.08044
"101",,"Pygmy Whitefish","Prosopium coulterii","COREGONINAE","PyWhi",TRUE,50,142,54,157,2,34,0.5,0.6,1.61,1.49,4.58092,1.07271
"102",,"Round Whitefish","Prosopium cylindraceum","COREGONINAE","RoWhi",FALSE,60,527,65,587,3,2500,0.5,0.6,1.61,1.49,4.58092,1.07271
"103",,"Chub (Deepwater Chub)","Coregonus sp.","COREGONINAE","Chub",FALSE,67,358,74,396,3,795,0.24,0.35,1.82,1.65,2.78537,1.10118
"106",,"Coregonus sp.","Coregonus sp.","COREGONINAE","CorSp",FALSE,8,750,9,830,0.1,5422,0.11,0.29,2.13,1.89,2.4667,1.10579
"107",,"Prosopium sp.","Prosopium sp.","COREGONINAE","ProSp",FALSE,60,527,65,587,3,2500,0.5,0.6,1.61,1.49,4.58092,1.07271
"110",,"Grayling Subfamily","Thymallinae","THYMALLINAE","GRAYL",FALSE,8,570,9,601,0.1,2450,0.11,0.29,2.13,1.89,3.34493,1.10055
"111",,"Arctic Grayling","Thymallus arcticus","THYMALLINAE","ArGra",FALSE,8,570,9,601,0.1,2450,0.11,0.29,2.13,1.89,3.34493,1.10055
"120",,"Smelt Family","Osmeridae","OSMERIDAE","SMELT",FALSE,5,300,6,326,0.1,202,0.14,0.24,1.11,1,-0.20883,1.08868
"121",,"Rainbow Smelt","Osmerus mordax","OSMERIDAE","RaSme",FALSE,5,300,6,326,0.1,202,0.14,0.24,1.11,1,-0.20883,1.08868
"130",,"Pike Family","Esocidae","ESOCIDAE","PIKES",FALSE,48,1330,52,1410,1,23587,0.26,0.38,1.48,1.34,1.60517,1.06159
"131",,"Northern Pike","Esox lucius","ESOCIDAE","NoPik",FALSE,48,1100,52,1170,1,14500,0.32,0.4,1.45,1.14,6.82595,1.05147
